Region,Codigo region,Poblacion,fecha,numero
Arica y Parinacota,15,252110,2020-04-09,70
Tarapaca,01,382773,2020-04-09,
Antofagasta,02,691854,2020-04-09,182
Atacama,03,314709,2020-04-09,57
Coquimbo,04,836096,2020-04-09,
Valparaiso,05,1960170,2020-04-09,301
Metropolitana,13,8125072,2020-04-09,5383
OHiggins,06,991063,2020-04-09,68
Maule,07,1131939,2020-04-09,397
Nuble,16,511551,2020-04-09,364
Biobio,08,1663696,2020-04-09,592
Araucania,09,1014343,2020-04-09,124
Los Rios,14,405835,2020-04-09,
Los Lagos,10,891440,2020-04-09,341
Aysen,11,107297,2020-04-09,10
Magallanes,12,178362,2020-04-09,73
Arica y Parinacota,15,252110,2020-04-10,
Tarapaca,01,382773,2020-04-10,
Antofagasta,02,691854,2020-04-10,128
Atacama,03,314709,2020-04-10,52
Coquimbo,04,836096,2020-04-10,
Valparaiso,05,1960170,2020-04-10,249
Metropolitana,13,8125072,2020-04-10,3185
OHiggins,06,991063,2020-04-10,
Maule,07,1131939,2020-04-10,219
Nuble,16,511551,2020-04-10,
Biobio,08,1663696,2020-04-10,149
Araucania,09,1014343,2020-04-10,148
Los Rios,14,405835,2020-04-10,91
Los Lagos,10,891440,2020-04-10,199
Aysen,11,107297,2020-04-10,
Magallanes,12,178362,2020-04-10,24
Arica y Parinacota,15,252110,2020-04-11,93
Tarapaca,01,382773,2020-04-11,
Antofagasta,02,691854,2020-04-11,107
Atacama,03,314709,2020-04-11,60
Coquimbo,04,836096,2020-04-11,
Valparaiso,05,1960170,2020-04-11,248
Metropolitana,13,8125072,2020-04-11,2105
OHiggins,06,991063,2020-04-11,74
Maule,07,1131939,2020-04-11,
Nuble,16,511551,2020-04-11,259
Biobio,08,1663696,2020-04-11,281
Araucania,09,1014343,2020-04-11,126
Los Rios,14,405835,2020-04-11,
Los Lagos,10,891440,2020-04-11,178
Aysen,11,107297,2020-04-11,
Magallanes,12,178362,2020-04-11,46
Arica y Parinacota,15,252110,2020-04-12,103
Tarapaca,01,382773,2020-04-12,
Antofagasta,02,691854,2020-04-12,175
Atacama,03,314709,2020-04-12,25
Coquimbo,04,836096,2020-04-12,
Valparaiso,05,1960170,2020-04-12,273
Metropolitana,13,8125072,2020-04-12,3861
OHiggins,06,991063,2020-04-12,
Maule,07,1131939,2020-04-12,341
Nuble,16,511551,2020-04-12,189
Biobio,08,1663696,2020-04-12,469
Araucania,09,1014343,2020-04-12,184
Los Rios,14,405835,2020-04-12,
Los Lagos,10,891440,2020-04-12,225
Aysen,11,107297,2020-04-12,7
Magallanes,12,178362,2020-04-12,45
Arica y Parinacota,15,252110,2020-04-13,
Tarapaca,01,382773,2020-04-13,
Antofagasta,02,691854,2020-04-13,103
Atacama,03,314709,2020-04-13,20
Coquimbo,04,836096,2020-04-13,
Valparaiso,05,1960170,2020-04-13,223
Metropolitana,13,8125072,2020-04-13,1850
OHiggins,06,991063,2020-04-13,74
Maule,07,1131939,2020-04-13,113
Nuble,16,511551,2020-04-13,65
Biobio,08,1663696,2020-04-13,
Araucania,09,1014343,2020-04-13,232
Los Rios,14,405835,2020-04-13,
Los Lagos,10,891440,2020-04-13,39
Aysen,11,107297,2020-04-13,
Magallanes,12,178362,2020-04-13,45
Arica y Parinacota,15,252110,2020-04-14,93
Tarapaca,01,382773,2020-04-14,
Antofagasta,02,691854,2020-04-14,95
Atacama,03,314709,2020-04-14,22
Coquimbo,04,836096,2020-04-14,
Valparaiso,05,1960170,2020-04-14,92
Metropolitana,13,8125072,2020-04-14,1656
OHiggins,06,991063,2020-04-14,30
Maule,07,1131939,2020-04-14,160
Nuble,16,511551,2020-04-14,
Biobio,08,1663696,2020-04-14,218
Araucania,09,1014343,2020-04-14,148
Los Rios,14,405835,2020-04-14,67
Los Lagos,10,891440,2020-04-14,131
Aysen,11,107297,2020-04-14,12
Magallanes,12,178362,2020-04-14,35
Arica y Parinacota,15,252110,2020-04-15,24
Tarapaca,01,382773,2020-04-15,
Antofagasta,02,691854,2020-04-15,117
Atacama,03,314709,2020-04-15,25
Coquimbo,04,836096,2020-04-15,
Valparaiso,05,1960170,2020-04-15,385
Metropolitana,13,8125072,2020-04-15,2694
OHiggins,06,991063,2020-04-15,30
Maule,07,1131939,2020-04-15,
Nuble,16,511551,2020-04-15,
Biobio,08,1663696,2020-04-15,311
Araucania,09,1014343,2020-04-15,218
Los Rios,14,405835,2020-04-15,67
Los Lagos,10,891440,2020-04-15,137
Aysen,11,107297,2020-04-15,8
Magallanes,12,178362,2020-04-15,63
Arica y Parinacota,15,252110,2020-04-16,198
Tarapaca,01,382773,2020-04-16,30
Antofagasta,02,691854,2020-04-16,117
Atacama,03,314709,2020-04-16,29
Coquimbo,04,836096,2020-04-16,
Valparaiso,05,1960170,2020-04-16,240
Metropolitana,13,8125072,2020-04-16,4356
OHiggins,06,991063,2020-04-16,58
Maule,07,1131939,2020-04-16,469
Nuble,16,511551,2020-04-16,110
Biobio,08,1663696,2020-04-16,408
Araucania,09,1014343,2020-04-16,246
Los Rios,14,405835,2020-04-16,49
Los Lagos,10,891440,2020-04-16,139
Aysen,11,107297,2020-04-16,16
Magallanes,12,178362,2020-04-16,86
Arica y Parinacota,15,252110,2020-04-17,131
Tarapaca,01,382773,2020-04-17,
Antofagasta,02,691854,2020-04-17,143
Atacama,03,314709,2020-04-17,37
Coquimbo,04,836096,2020-04-17,
Valparaiso,05,1960170,2020-04-17,246
Metropolitana,13,8125072,2020-04-17,3670
OHiggins,06,991063,2020-04-17,50
Maule,07,1131939,2020-04-17,367
Nuble,16,511551,2020-04-17,159
Biobio,08,1663696,2020-04-17,80
Araucania,09,1014343,2020-04-17,220
Los Rios,14,405835,2020-04-17,71
Los Lagos,10,891440,2020-04-17,198
Aysen,11,107297,2020-04-17,8
Magallanes,12,178362,2020-04-17,69
Arica y Parinacota,15,252110,2020-04-18,
